region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
USA,US,JYXdvb2g-rg,"Xavi, Tony Aguirre - Modo DND (Official Video)",2724693,90888,Xavi Oficial,2023-10-27T00:00:08Z,UCx0lY_L_o5vFPQaLAdBasmQ,PT3M43S
USA,US,D8UuS3GbijE,I Made a SPINNING Carousel Dress (and only went a little crazy),259417,29272,Rachel Maksy,2023-10-28T00:24:17Z,UCJI86v9et-IZd1KJSfahN8g,PT29M27S
USA,US,YgUQ-gwzHwg,This is the tee box.,571009,24953,How Ridiculous,2023-10-27T21:00:28Z,UC5f5IV0Bf79YLp_p9nfInRA,PT15M25S
USA,US,yNWRpa6MFjY,Overall Best Starter Pokémon in Every Game,400747,23092,MandJTV,2023-10-27T14:35:06Z,UCSAYHSNaY5_UEol4_frPurg,PT27M36S
USA,US,Pn76ohFcJmI,I Transformed the Entire Swamp Biome in Minecraft Hardcore,1261530,48282,aCookieGod,2023-10-27T12:00:21Z,UCIVSqoHCUN1XdEpiVItxfoQ,PT23M52S
USA,US,jITTAv5JX1k,"Yuridia, Los Dos Carnales - Llévate (Video Oficial)",1795632,50589,YuridiaVEVO,2023-10-27T00:00:07Z,UC22QP-rNb5wWyJ0BQOWlXQA,PT3M13S
USA,US,krJMtSoNyas,#DinnerWithTheDon Ari + Tuson Cook Spaghetti & Fried Catfish,531476,20043,TheRealKyleSister,2023-10-26T23:00:24Z,UCzegztfNzXt-YRxeJlgF0fA,PT44M33S
USA,US,bJq2phrM3js,Secret Life SMP - Ep2:  The Secret Life Courthouse!!,268905,19600,GoodTimesWithScar,2023-10-27T14:45:03Z,UCodkNmk9oWRTIYZdr_HuSlg,PT28M47S
USA,US,gJMheHHf4GQ,RIIZE 라이즈 'Talk Saxy' MV,14989648,250388,SMTOWN,2023-10-27T09:00:28Z,UCEf_Bc-KVd7onSeifS3py9g,PT3M18S
USA,US,6pgOg2nkAhc,Liverpool vs. Toulouse: Extended Highlights | UEL Group Stage MD 3 | CBS Sports Golazo,484324,5105,CBS Sports Golazo - Europe,2023-10-26T21:26:32Z,UCf8YPuOWXlpTS7RibaJlP4g,PT13M55S
USA,US,a67zAYZhQd0,"Rebuilding A Flooded $2,000,000 McLaren P1 | Part 11",1363438,70117,Tavarish,2023-10-28T16:00:01Z,UCvAhDxNNUDhi78tMXVGBUaQ,PT35M34S
USA,US,HrnrqYxYrbk,"ANIMAL: SATRANGA |Ranbir Kapoor, Rashmika |Sandeep V |Arijit, Shreyas P, Siddharth-Garima |Bhushan K",34719905,394822,T-Series,2023-10-27T08:29:12Z,UCq-Fj5jknLsUf-MWSy4_brA,PT4M33S
